gmdn,emdn,deviceproblem,patientproblem
33968,L26,A05,E24
33968,L26,A15,E20
33968,L26,A17,E24
33968,L26,A17,F26
33968,L26,A27,F26
34158,A019013,A07,E24
34158,A019013,A07,F26
34158,A019013,A07,F27
34164,H010202020302,A24,E17
34190,L26,A01,E16
34190,L26,A01,E23
34190,L26,A04,E16
34190,L26,A04,E23
34190,L26,A04,E24
34190,L26,A24,E16
34190,L26,A24,E19
34190,L26,A24,E23
34190,L26,A24,E24
34191,L26,A01,E16
34191,L26,A01,E19
34191,L26,A01,E20
34191,L26,A01,E23
34191,L26,A04,E04
34191,L26,A04,E16
34191,L26,A04,E23
34191,L26,A24,E02
34191,L26,A24,E04
34191,L26,A24,E16
34191,L26,A24,E17
34191,L26,A24,E19
34191,L26,A24,E20
34191,L26,A24,E23
34191,L26,A24,E24
34191,L26,A26,E16
34191,L26,A26,E23
34191,L26,A27,E23
34195,W02020502,A01,E16
34195,W02020502,A01,E23
34195,W02020502,A24,E23
34195,W02020502,A24,E24
34195,W02020502,A26,E23
34198,M050101,A01,E16
34198,M050101,A01,E23
34198,M050101,A24,E23
34199,C04020201,A01,E16
34199,C04020201,A01,E21
34199,C04020201,A01,E23
34199,C04020201,A04,E16
34199,C04020201,A04,E23
34199,C04020201,A04,E24
34199,C04020201,A05,E16
34199,C04020201,A05,E23
34199,C04020201,A24,E05
34199,C04020201,A24,E16
34199,C04020201,A24,E17
34199,C04020201,A24,E19
34199,C04020201,A24,E20
34199,C04020201,A24,E21
34199,C04020201,A24,E23
34199,C04020201,A24,E24
34199,C04020201,A26,E16
34199,C04020201,A26,E19
34199,C04020201,A26,E23
34210,B0399,A07,E24
34210,B0399,A09,E24
34210,B0399,A16,E24
34210,B0399,A24,E01
34210,B0399,A24,E02
34210,B0399,A24,E05
34210,B0399,A24,E06
34210,B0399,A24,E07
34210,B0399,A24,E10
34210,B0399,A24,E16
34210,B0399,A24,E17
34210,B0399,A24,E19
34210,B0399,A24,E20
34210,B0399,A24,E21
34210,B0399,A24,E23
34210,B0399,A24,E24
34210,B0399,A24,F02
34540,A019013,A04,E24
34540,A019013,A06,E24
34540,A019013,A07,E24
34540,A019013,A09,E24
34540,A019013,A13,E24
34848,B0399,A04,F26
34856,B030299,A04,E24
34856,B030299,A06,E24
34856,B030299,A09,E24
34856,B030299,A09,F26
34856,B030299,A23,E24
34870,H900304,A04,E24
34870,H900304,A05,E24
34870,H900304,A05,F27
34870,H900304,A07,E24
34870,H900304,A07,F27
34870,H900304,A09,E24
34870,H900304,A09,F27
34870,H900304,A15,E24
34870,H900304,A16,E24
34900,M050101,A09,E24
34900,M050101,A10,E24
34900,M050101,A14,E24
34900,M050101,A24,E08
34900,M050101,A27,E24
34915,L26,A04,E24
34915,L26,A04,F26
34919,L26,A04,E24
34919,L26,A04,F26
34919,L26,A05,E24
34919,L26,A05,F26
34919,L26,A06,E24
34919,L26,A06,F26
34919,L26,A07,E24
34919,L26,A08,E24
34919,L26,A14,E24
34919,L26,A14,F26
34919,L26,A15,E24
34919,L26,A15,F26
34919,L26,A16,F26
34919,L26,A25,E24
35039,B0399,A04,E24
35039,B0399,A07,E01
35039,B0399,A07,E06
35039,B0399,A07,E23
35039,B0399,A07,E24
