GMDN,EMDN,score
13701,A019013,0.7233194708824158
13702,A019013,0.6570353806018829
13704,A019013,0.7128285467624664
13708,L01040502,0.8956003785133362
13709,M050101,0.8718838095664978
13730,L26,0.8824764788150787
13732,L0102,0.805914044380188
13735,B030299,0.8452941477298737
13740,H900303,0.8034632802009583
13754,A010601,0.7911222875118256
13755,L26,0.578456923365593
13763,H900303,0.9090794026851654
13796,M050102,0.6818093508481979
13810,A019013,0.8421966731548309
13818,M050102,0.6435888111591339
13836,H010202020302,0.589544802904129
13837,C010103,0.9495591521263124
13839,C04020201,0.8813488483428955
13846,A019013,0.6935062110424042
13892,M050102,0.7357304394245148
13894,A019013,0.8158012926578522
13895,M050101,0.857426106929779
13898,F900402,0.8938276171684265
13904,H900303,0.6758297979831696
13906,U020301,0.8483231961727142
13907,L0104080101,0.8877612948417664
13908,M050101,0.891825944185257
13909,L0104080101,0.8695826530456543
13910,A019013,0.7098882645368576
13913,A019013,0.7116170823574066
13951,L26,0.6816378980875015
13959,H900303,0.6270059645175934
13964,A019013,0.7862935066223145
13983,H010202020302,0.6089300364255905
13990,H90020103,0.8525975048542023
13997,K0107,0.6514734923839569
13998,Q01010103,0.6726901531219482
13999,B0399,0.6899825632572174
14025,M03030203,0.6856650412082672
14034,A019013,0.8006133735179901
14035,L0102,0.7785269320011139
14066,B0399,0.9047862589359283
14070,L01040402,0.4620367139577865
14074,H900303,0.9021418690681458
14077,A019013,0.6544126272201538
14089,A019013,0.8289933502674103
14090,C04020201,0.8449951410293579
14093,A019013,0.7181686758995056
14094,A019013,0.771227240562439
14099,C04020299,0.7011553645133972
14105,M03030203,0.7630967795848846
14106,H90020103,0.8317925333976746
14119,L0102,0.953151524066925
14147,B0399,0.9000139832496643
14148,L26,0.8497848510742188
14152,L26,0.867409884929657
14187,C010103,0.9564449191093444
14189,C04020201,0.7452955842018127
14194,A019013,0.8493971824645996
14221,H900303,0.8183192610740662
14239,K0107,0.846672922372818
14285,K0107,0.8286235928535461
14286,L26,0.846050351858139
14301,M050101,0.7213533222675323
14302,M03030203,0.7364839315414429
14307,M03030203,0.8323906362056732
14337,H900303,0.9551418125629424
14339,H90020103,0.7917843163013458
14359,H900303,0.8646239936351776
14361,L26,0.8544982671737671
14367,R0499,0.7307721674442291
14379,M050102,0.6484165042638779
14386,H900303,0.7448832392692566
14426,H900303,0.8174170553684235
